Time (EDT),AAPL,AMZN,GOOG,MSFT
2024-06-12 15:10:00,219.9349976,186.7899933,179,441.6900024
2024-06-12 15:11:00,220.0449982,186.9290924,179.1300049,442.2200012
2024-06-12 15:12:00,220.0899963,186.8950043,179.0599976,442.0499878
2024-06-12 15:13:00,219.9505005,186.9649963,179.2400055,442.2399902
2024-06-12 15:14:00,220.0332031,187.1900024,179.3600006,442.7099915
2024-06-12 15:15:00,220.0599976,187.3099976,179.3399963,442.8699951
2024-06-12 15:16:00,219.8000031,187.2400055,179.2599945,442.7000122
2024-06-12 15:17:00,219.7599945,187.2799988,179.2662048,442.9388123
2024-06-12 15:18:00,219.5908966,187.3101044,179.3000031,442.9400024
2024-06-12 15:19:00,219.7899933,187.5498962,179.3899994,443.3150024
2024-06-12 15:20:00,219.6815948,187.4600067,179.4400024,443.0150146
2024-06-12 15:21:00,219.8899994,187.5299988,179.5,443.2999878
2024-06-12 15:22:00,219.7776031,187.2200012,179.3605042,442.6099854
2024-06-12 15:23:00,219.1100006,186.9600067,179.0800018,442.0000916
2024-06-12 15:24:00,218.701004,186.7700043,178.9299927,441.6000061
2024-06-12 15:25:00,218.4281006,186.6000061,178.7798004,441.0400085
2024-06-12 15:26:00,218.1950073,186.7599945,178.829895,441.5400085
2024-06-12 15:27:00,217.8479004,186.6298981,178.6499939,441.2999878
2024-06-12 15:28:00,217.75,186.3999939,178.5299988,440.3699951
2024-06-12 15:29:00,217.7299957,186.4900055,178.6000061,440.2399902
2024-06-12 15:30:00,217.5599976,186.4600067,178.5099945,440.5799866
2024-06-12 15:31:00,216.8699951,186.2400055,178.3600006,440.1400146
2024-06-12 15:32:00,217.0962982,186.3600006,178.5200043,440.2249146
2024-06-12 15:33:00,216.8999939,186.25,178.5899963,440.1900024
2024-06-12 15:34:00,216.8249054,186.1699982,178.6100006,440.2138062
2024-06-12 15:35:00,216.9550018,186.3350067,178.7599945,440.2539063
2024-06-12 15:36:00,217.2100067,186.6239929,178.9098969,440.730011
2024-06-12 15:37:00,216.8800049,186.594696,178.8654938,440.4500122
2024-06-12 15:38:00,216.2400055,186.6799927,178.9161072,440.4400024
2024-06-12 15:39:00,215.6522064,186.4600067,178.8099976,439.9700012
2024-06-12 15:40:00,215.3200073,186.6000061,178.8999939,440.25
2024-06-12 15:41:00,214.5119019,186.5200043,178.9100037,440.1099854
2024-06-12 15:42:00,214.625,186.5800018,178.9499969,440.2799988
2024-06-12 15:43:00,214.6399994,186.7198944,179.0700073,440.230011
2024-06-12 15:44:00,214.1900024,186.7899933,179.1300049,440.2106934
2024-06-12 15:45:00,214.0800018,186.7509003,179.1399994,440.1499939
2024-06-12 15:46:00,214.2100067,186.8500061,179.2200012,440.2900085
2024-06-12 15:47:00,214.0800018,187.0700073,179.3600006,440.4700012
